SubjID,Landmark,OX,OY,OZ,MX,MY,MZ
N7668,En,-9.4211,50.9788,60.0836,-10.24132453,50.08120485,60.74667127
N7668,Al,-11.9439,16.4218,69.6544,-12.4184753,16.90035743,70.389415
N7668,Sbal,-5.32762,14.086,70.9573,-3.85045696,14.79056124,72.60658852
N7668,Ch,-16.0778,-10.5466,64.2272,-15.11276225,-11.70668479,66.01533998
N7668,Prn,9.10918,25.0939,86.4979,9.10918,25.0939,86.4979
O0370,Ft,-95.844,66.3431,5.0108,-95.97938953,66.12757128,3.962325187
O0370,Ex,-72.4298,37.0057,39.0418,-73.75430095,36.67857496,39.09690485
O0370,En,-42.334,36.4501,46.3052,-41.18742835,35.54950586,45.9206288
O0370,Al,-42.2119,-3.44563,57.9101,-40.81534187,-3.776165308,59.01291941
O0370,Sbal,-35.8409,-1.68699,63.3497,-34.18463237,-1.066328747,62.86538951
O0370,Ch,-49.3512,-33.0613,52.3366,-48.56349161,-34.10954191,49.49311768
O0370,Prn,-21.593,4.16921,79.247,-21.593,4.16921,79.247
P1717,Ft,-75.4716,59.3542,28.7099,-75.86466611,59.78572633,27.86131796
P1717,Ex,-49.7777,35.1371,56.8778,-51.56314757,35.6926923,56.96771301
P1717,En,-19.9607,31.7432,59.8588,-20.97746708,32.55162007,60.08118898
P1717,Al,-21.8838,-10.925,64.2288,-21.86484436,-10.04543624,64.36953992
P1717,Sbal,-14.5605,-12.6588,70.5805,-14.48345165,-11.53406389,70.98451576
P1717,Ch,-29.348,-36.381,62.2137,-29.00335913,-35.33732729,63.07145139
P1717,Prn,-2.26972,-1.50954,91.0629,-2.26972,-1.50954,91.0629
Q7977,Ft,-48.9265,59.3942,37.7729,-48.76609183,59.32465534,38.30042973
Q7977,Ex,-31.5925,33.7682,66.6168,-31.26963967,33.84522461,65.86633927
Q7977,En,-5.58119,28.2115,71.689,-3.604362586,27.79718999,71.67016251
Q7977,Al,-5.09694,-10.0708,73.7538,-6.018886985,-10.48301789,73.28187027
Q7977,Sbal,1.66265,-13.8691,81.6865,-0.809778547,-13.60814348,81.26123875
Q7977,Ch,-14.7457,-34.8755,67.1782,-15.8914491,-33.91040428,67.19313268
Q7977,Prn,12.6014,-5.94761,94.6729,12.6014,-5.94761,94.6729
R6120,Ft,-67.89,36.2599,-21.5169,-66.48520419,36.94867005,-22.69475157
R6120,Ex,-49.5275,12.15,-0.847163,-50.18879961,12.93460919,-1.055404947
R6120,En,-20.1338,9.8812,8.75924,-19.38090214,9.939077189,8.324360602
R6120,Al,-18.9515,-29.8909,16.7228,-18.18306808,-28.75620019,17.52789409
R6120,Sbal,-11.4255,-31.2665,23.0292,-10.67891754,-31.28371443,23.44280671
R6120,Ch,-27.9158,-52.4223,14.6758,-28.85535857,-52.14671569,15.42573979
R6120,Prn,-3.8973,-24.5402,37.4266,-3.8973,-24.5402,37.4266
S3197,Ft,-63.9226,64.3485,-36.4289,-63.67305927,63.26875345,-35.63216021
S3197,Ex,-48.82,35.2757,-12.9065,-48.33874977,36.3518877,-11.15964731
